owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
21852908,atlasandmason,C3_SLt3PhKB,True,"How to build a fragrance collection from scratch. 

Multiple fragrances will fit in multiple categories but I always look for something that fills a new category I don’t already have!",4,66,1709333301,"{'id': '349029876', 'has_public_page': True, 'name': 'Downtown Los Angeles', 'slug': 'downtown-los-angeles'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/430443436_3693944474174375_6349328672627085227_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=1DLjyleN2zcAX-yWLns&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB8XCipjDn-YCzuRe4M8HdiLuCWuVau1t5Cuhb8SpLqvA&oe=65E56F51&_nc_sid=8b3546,False
21852908,atlasandmason,C380-Ezvb8U,True,Day 5: Dive. Bar. Chic. #30fits30days #grwm #divebar,55,624,1709250731,"{'id': '212999109', 'has_public_page': True, 'name': 'Los Angeles, California', 'slug': 'los-angeles-california'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/430731868_1581787185927235_6414147895671786401_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=wOZFfvpGvPQAX9Hzxkt&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBKg-_zjk4dWP9zrXji9-Fu6at9axvlm3lL8hh5cIPUtg&oe=65E51B6D&_nc_sid=8b3546,False
21852908,atlasandmason,C376nWIrbIE,True,"Let’s make a clarified whiskey sour!

For centuries, milk has been an essential ingredient in many culinary and beverage creations. From creamy soups to decadent desserts, milk has proven to be a versatile and beloved ingredient. However, one particularly interesting use of milk in the culinary world is its role in clarifying cocktails.

The process of clarifying cocktails using milk is not a new concept. In fact, it dates back to the early 19th century when the technique was first documented in Jerry Thomas’ 1862 book “How to Mix Drinks or The Bon Vivant’s Companion.” In this book, Thomas describes a technique called “milk clarifying” that uses milk to remove impurities and sediment from alcoholic mixtures.

The process itself is quite simple. It involves mixing milk with an acidic component such as lemon juice or vinegar and then combining it with the alcoholic mixture. As the mixture sits, the milk proteins bind with the impurities and sediment, causing them to separate and sink to the bottom. The result is a clear and visually appealing cocktail.

But why use milk in this process? The key lies in its composition. Milk contains casein, a protein that has strong binding properties. When combined with acid, the casein forms clumps that trap impurities and sediment, making it easier to remove them. This technique is similar to how egg whites are used in fining wines, although milk does not alter the flavor of the cocktail like egg whites can.

In conclusion, the history of clarifying cocktails using milk is a rich and time-honored tradition. From its first mention in a 19th-century cocktail book to its recent revival, this technique showcases the creativity and ingenuity of bartenders and mixologists throughout the ages. So the next time you enjoy a clear and pristine cocktail, remember the role that milk played in perfecting its appearance and taste. #milkpunch #clarifiedcocktail #whiskeysour",18,216,1709220039,"{'id': '212999109', 'has_public_page': True, 'name': 'Los Angeles, California', 'slug': 'los-angeles-california'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/430191552_926541625596709_6193365841367148527_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=TnN9btcZ3OQAX8kh557&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDEHYxGBRrCv49CQ5XX4n0jNF2zmp1Ysn6WlFy_trGs4A&oe=65E58721&_nc_sid=8b3546,False
1147394958,gentslounge,C368Rl5rLlx,True,What a day.,1,56,1709187381,"{'id': '349029876', 'has_public_page': True, 'name': 'Downtown Los Angeles', 'slug': 'downtown-los-angeles'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/430022500_938382294595033_7746678717106709966_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=jlIF28JFZ74AX8qh5Gg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDHeNVa1IFuBFtQiltYR3A1Cd6JGOmy_Nmfh-WKEN9SoQ&oe=65E5456E&_nc_sid=8b3546,False
21852908,atlasandmason,C36QEsyPAfI,True,"I like to organize my fragrances by what I’m doing. What are your favorite fragrances? 

Use this audio and show me!

#fragrance #mensfragrance #datenightscents",10,92,1709164342,"{'id': '212999109', 'has_public_page': True, 'name': 'Los Angeles, California', 'slug': 'los-angeles-california'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/430153763_1421766798437198_3066059640548939444_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=U1eGH6UOGVoAX9GS5yC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD_w48IJiFqgdvY5ETVkHvoozXfvVWq0bKcdKTxwNqlkQ&oe=65E5B979&_nc_sid=8b3546,False
1147394958,gentslounge,C33M_vQvjO9,False,A match made in heaven.,3,81,1709061836,"{'id': '212999109', 'has_public_page': True, 'name': 'Los Angeles, California', 'slug': 'los-angeles-california'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t39.30808-6/428686368_18413317519002959_8764235875216296983_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=2mZ0nf9ae-AAX-xILKe&edm=AOQ1c0wAAAAA&ccb=7-5&oh=00_AfAM5NDhyieppLy9VKnW4y2Wy2MBRKUDQMQRCHSGXIlCwg&oe=65E7F243&_nc_sid=8b3546,False
21852908,atlasandmason,C30mJkBPaXD,True,"Day 4: Country Club Casual. 

#grwm #30fits30days #countryclub",19,242,1708974573,"{'id': '284942858771959', 'has_public_page': True, 'name': 'Calabasas Country Club', 'slug': 'calabasas-country-club'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/429821724_920755676500083_8640739759984335669_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=nsqoMQFLljcAX8HmFbG&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBJ0lxAEGLKYEMdqQZA-klRFPU4RBks3TaP4iYOusPXkg&oe=65E5B1CC&_nc_sid=8b3546,False
21852908,atlasandmason,C3rPXfOrvfE,True,Scotch. Party. Fancy. #grwm #30fits30days #scotchparty,23,300,1708660592,"{'id': '273659586', 'has_public_page': True, 'name': 'Polo Lounge at Beverly Hills Hotel', 'slug': 'polo-lounge-at-beverly-hills-hotel'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/428183205_696906765983254_5564258327322246425_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=3VOXOQzJnY0AX_LfZfz&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBrGaL_iFud8QawiTrqLKG0QfqP2jQ5nidJpLnp4mp2Bw&oe=65E526FE&_nc_sid=8b3546,False
21852908,atlasandmason,C3oKuowvSKY,True,Quick easy casual. Simple fits don’t have to be boring. A good jacket and a nice pair of boots go a long way! #30fits30days #casualfits #jacketweather,20,338,1708557632,"{'id': '349029876', 'has_public_page': True, 'name': 'Downtown Los Angeles', 'slug': 'downtown-los-angeles'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/429081343_1349011966499779_8539209008987542486_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=_4xwzsA3tCIAX-4lnSt&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA8P2xRcXBsL9MGYFcE9toz3wDArCmD0WcMQeVrgdwxOg&oe=65E526F2&_nc_sid=8b3546,False
21852908,atlasandmason,C3nZtrFL5mt,True,Rainy days call for cozy fits. #cozyfits #30fits30days #sweaterweather,33,522,1708531869,"{'id': '349029876', 'has_public_page': True, 'name': 'Downtown Los Angeles', 'slug': 'downtown-los-angeles'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/429023081_240222279159914_6786650033869249516_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=bgnf5PTjssIAX8CuRHS&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBWFpHyY05a79eF2UNhyfkVzqMq2wjnSSEHe2p-hJTqZA&oe=65E5A2BE&_nc_sid=8b3546,False
21852908,atlasandmason,C3ViRecRnwp,True,"Shaving - the bane of existence for many men (and some women). We’ve all been there, standing in the Target grooming aisle, trying to figure out which razor to Buy. Do we go for the fancy multi blade razor that promises a close shave? The classic safety razor that our grandfathers used? Or should we channel our inner Sweeney Todd and go for a straight razor? Let’s weigh the pros and cons of each, shall we?

Multi Blade Razor:

Pros:

1. Convenient & Quick
2. Smooth Shave

Cons:

1. Expensive
2. Clogs Easily
3. Not good for sensitive skin

Safety Razor:

Pros:

1. Old-School Cool
2. Cost-effective
3. Great for Beards

Cons:

1.  Bigger Learning Curve
2. Time-consuming

Straight Razor:

Pros:

1. Closest Shave
2. Durable

Cons:

1. Dangerous
2. High Maintenance
3. Expensive

Which type of razor is in your bathroom?

#Shaving #Razor #closeshave",7,125,1707932266,"{'id': '349029876', 'has_public_page': True, 'name': 'Downtown Los Angeles', 'slug': 'downtown-los-angeles'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/427344488_742130394685179_623156641983321991_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=9qpVV3FadbAAX_mfAec&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBz2bYwB1CKP7gMhzEVLe1oHEFpmv2NvPHPD88upT9-xg&oe=65E581B1&_nc_sid=8b3546,False
21852908,atlasandmason,C3RA4vcPfnR,True,"Can an electric grill cook the perfect steak?? I think so, but you be the judge.",24,171,1707780544,"{'id': '349029876', 'has_public_page': True, 'name': 'Downtown Los Angeles', 'slug': 'downtown-los-angeles'}",https://instagram.flhr13-1.fna.fbcdn.net/v/t51.2885-15/426837136_1470867340446044_7876373731552884526_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flhr13-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=gZxZlVuGbGUAX_oRNat&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCX8dy5YEze3R8VQqo1C_hyWO1svPxbmOqu0y4qrtRZmg&oe=65E5431A&_nc_sid=8b3546,False
