owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
620226,finn,C3DwqMiinEF,False,"Vast and ever-shifting, the sea has always been emblematic of life’s dualities: beautiful but treacherous, clear yet vague, the beginnings and inevitable endings. “All at Sea” is a project focussing on the expansive and unpredictable nature of the ocean and linking it with our own human emotions. It is a somewhat melancholic nod to my Father, a sailor who died in 2010, and is an ongoing conversation with myself, exploring concepts such as memory, relationship, time, place and the strange waves of conflicting emotions that have arisen since he passed. 

@finn - 2024",50,3114,1707335704,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/425728178_368018005945373_3422285281977575163_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=RDXVJadHQwoAX8fPiLa&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDao2gHWMJNylk4krbh-ils7Sq5R4A9XAI6_us1I47OdA&oe=65E977DA&_nc_sid=8b3546,True
620226,finn,C0omP9TCD9k,False,"I’m delighted to have been invited to sit on the jury panel for the 2024 @riba Awards by the @the_rsaw. I’m not a trained architect, but having helped design and build our house (above), which won 5 RIBA awards this year and the Gold Medal for Architecture, I hope to bring a different but valuable perspective to the panel! Looking forward to the site visits, which begin in the spring.",58,3333,1702129309,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/409183684_1688299901703619_9000782187748111832_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=l_IXl3KRJe4AX_1en57&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfClm5z3FhRKLQHbIOszAkC4ehKR0d0BlKEO7OKbMsCnlQ&oe=65E980D8&_nc_sid=8b3546,True
620226,finn,C2DcUhuihJA,False,"New year, new personal project.

My son and I recently discussed The Soul Hypothesis - the belief that souls exist and that humans have them. This immaterial part of a human being, often regarded as immortal, is impossible to prove or disprove, but a good portrait is universally thought capable of immortalising or carrying the soul, so he set me the challenge. I hand-painted a canvas backdrop over the holidays with the intention of making a series of new portraits this year. I am limited to simple setups that lean on purposeful, elegant posing – something of a test, as much of my photography falls into the environmental category. My backdrop can travel to locations, but its physical constraints will force me to work with just the person themselves—my only aid: light and an ability to relate.  

So here we go, some slides from my first session yesterday. Thank you, @hayward151, for assisting, and @cloudmaker_and_the_wolf, for bringing your boys and the whirlwind surrounding them to my backdrop. The last slide shows these wee legends turning the tables on their photographer - I love it.",123,3655,1705177557,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/418771957_1324442278259871_2205019137353848316_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=7BLsTDD_Xq8AX_qiYa9&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD_-AAAC_p24zUsC8glhYCS88drUu1O2cDKFmSicElL6A&oe=65E93166&_nc_sid=8b3546,True
620226,finn,C38toO9CiDn,False,"Rwanda - Kigali and beyond 

// #silverback #volcanoesnationalpark",10,1065,1709246717,"{'id': '417596964', 'has_public_page': True, 'name': 'Rwanda', 'slug': 'rwanda'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/430413544_358763223793421_7993899408340435229_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=bMWTLeuiNK4AX99rqBM&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCeOyufNFmkafwdrv6fRbmwJ0kaFP5PItaqZFOx8k9GRA&oe=65E8BB60&_nc_sid=8b3546,True
620226,finn,C3vdyy-ib5b,False,A portrait of my daughter and a definite addition to my Soul Hypothesis project. I love the touch of thirteen-year-old-reluctance in her eyes 🖤,30,1845,1708802208,"{'id': '267690981', 'has_public_page': True, 'name': 'United Kingdom', 'slug': 'united-kingdom'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429460352_930157155246504_599412990512110522_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=bVtlhoX0PiEAX-Bd4dd&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfC1Qj6LaL2F49ZZCfCzHtAVGVRJJ2diHPRq5bPED79Fyg&oe=65E9A6CA&_nc_sid=8b3546,False
620226,finn,C3c6UD1C5jl,False,More Scottish Scandi goodness from Lundies House in the Highlands for Audi. Great shoot with great people and much inspiration for our own house build ✨,46,2039,1708179626,"{'id': '9932395', 'has_public_page': True, 'name': 'Scotland', 'slug': 'scotland'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/428346943_259681157174639_8553020859628104171_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=YpoJLyRcS24AX-WyZvT&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCFOxhUIh0oPd-Sksx8bbC4H6QY8zCF5jUZuZgmNSyD6w&oe=65E7D5D7&_nc_sid=8b3546,True
620226,finn,C3X7NbaCubh,False,"yes please, @lundies.scot 🏴󠁧󠁢󠁳󠁣󠁴󠁿",17,940,1708012324,"{'id': '275969008', 'has_public_page': True, 'name': 'Tongue, Highland', 'slug': 'tongue-highland'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/427377264_281935768248268_6721166085002253617_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=MuUfvjW7NccAX8e5Z0k&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDFx0iQdzz_wZUWunrGNinhxCecGji8yhRcm_aEC46XSg&oe=65E89DD0&_nc_sid=8b3546,True
620226,finn,C3OGIT_CPD5,False,"winter, wales",71,4913,1707682505,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/426288448_370510325745997_4020788719852556492_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=KkTXTZujCGIAX9T4xST&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD4UJzMquaPf4ZiWZ32bT1ZmN6WTlpgPNtlZtiHqvUZzA&oe=65E814C0&_nc_sid=8b3546,True
620226,finn,C3GVmfHinpW,False,clever friends,6,1440,1707422181,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/425977210_282193557984749_7806806777707681668_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=J1pp_pwy0sIAX-_J8Uf&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfB2be-cEHHa3DL8NOSZAZvxRVcBtWUhYcOij9LdQgZZ0w&oe=65E8BADD&_nc_sid=8b3546,True
620226,finn,C3A-rR5iV_H,False,gift horse 🇮🇸,10,1442,1707242389,"{'id': '530155923', 'has_public_page': True, 'name': 'Vestrahorn', 'slug': 'vestrahorn'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/425886405_1079895666560842_9191314344820863493_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=_zlZmTZU1WgAX-ieNVV&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAL44506khrtUjoGveqVq-FlilvIupwW62P8n8Fp88q3w&oe=65E7D183&_nc_sid=8b3546,False
620226,finn,C2-bUQwipTN,False,"Another ad I directed for @lloydsbankbusiness here. This one for @colwithfarmdistillery, who makes award-winning vodka from spuds! 

As the great Capa said: ‘If your pictures aren’t good enough, you’re not close enough.’ We used close-up action windows as building blocks or visual clues to help enrich the narrative and keep the audience engaged. We pushed this further with GoPros, body cams, probe lenses and custom-built rigs to drop the viewer into places you wouldn’t usually have access to - the spud cam being a particular highlight! It’s such a fun campaign to work on with an awesome crew, an encouraging agency (@aandeddb), and a trusting client who lets us run with these ideas 🙏🏻 Swipe for stills and some BTS of the spud cam in action!

More to come in 2024 ✨

Director and photographer - that’ll be me @finn
DOP - @blakes_temple
Exec producer - @harrieadams
Production manager - @thedianaeastman
DIT - @alexdowfx
Gaffer - @henryjamesphotos
Drone Pilot - @dannyjchapman_
SFX - @jimbeagley
Editor - @riccardo.fusetti @wildislandfilms
Stylist - @taraholmesstudio

Agency/Creative: @aandeddb
Production: @lairdandgoodcompany
Client: @lloyds.bank @lloydsbankbusiness",23,464,1707156742,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/425026224_929891935506946_5749233297822365854_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=8w6aXZ7Vyd0AX-J5x5e&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA4M8V83RJPsJZB0heYv9AoCMrwPOS9oYir401HVoNNqw&oe=65E5221C&_nc_sid=8b3546,True
620226,finn,C2dFbVRNVEa,False,"New work for @audiuk and their new Q8 e-tron— a rare bit of sunshine in early December saw us embrace the ‘slow travel’ ethos of the UK’s latest EV-friendly driving route through Devon and Cornwall. Loved this wee Kingswear Ferry, that has linked both sides of the River Dart since the 1700s.

Thanks to all the team @thisisnorthstar // @south.west.660",46,2138,1706037969,"{'id': '721993132', 'has_public_page': True, 'name': 'Devon and Cornwall', 'slug': 'devon-and-cornwall'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/422108124_916364389670006_3711583181417377350_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=fEM8EIInL_wAX_YkdFT&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBKXVslSJx-tl4aeL2a-lPXT_Kft4pnckaouDH7BLmE0A&oe=65E7FC27&_nc_sid=8b3546,True
