owner_id,owner_username,shortcode,is_video,caption,comments,likes,created_at,location,imageUrl,multiple_images
24101272,aguynamedpatrick,C3-n1v-rGMQ,True,"Spa culture in NYC is reaching new heights, and @bathhouse is on the forefront of the change. #thisweekonthebestofnewyork",21,1829,1709310811,"{'id': '111058058737176', 'has_public_page': True, 'name': 'Bathhouse Flatiron', 'slug': 'bathhouse-flatiron'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/430886102_710056537957136_193260492950131833_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=tvSOGNHR1ZUAX8Ww_ED&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAIIdCtoEp0VfdYCXQpb3DRjFN2JzTNTyCKtdBxqltbiw&oe=65E6E3D7&_nc_sid=8b3546,False
24101272,aguynamedpatrick,C35S7sjL_Ip,True,Rainy NYC day,29,728,1709132168,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429916083_2434623246722318_3346940137140878458_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=bomBoeeiya0AX_kk-AJ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCPUNZTReSXRJMVeN5U2_yZQe4cnJZVnHFCX9Yn63WyQQ&oe=65E6D428&_nc_sid=8b3546,False
24101272,aguynamedpatrick,C30VgsHOcpk,False,"“To the uninitaited, a week in NYC can seem daunting. But discover a few thoughtful routines, and the metropolis quickly becomes an intimate neighborhood filled with quiet moment and reflective rituals.”

Check out our @iwcwatches x @aguynamedpatrick collab—where Patrick pairs his daily routine with IWC watches—in #IWCjournal’s latest Story. Link in @iwcjournal bio. #IWCwatches",17,771,1708965637,"{'id': '554011071793633', 'has_public_page': True, 'name': 'New York, New York', 'slug': 'new-york-new-york'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429880714_311542708600006_8851620815998909185_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=kW4T6l5ip_IAX9oo8Ub&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD6r4MI-czWR4X5c8XDv8oyBMthkBvoCo11n72tFnFtRg&oe=65E977D6&_nc_sid=8b3546,True
24101272,aguynamedpatrick,C3yjVC4L4jB,True,"All my favorite fragrances, all in one place.",145,3218,1708905918,"{'id': '212988663', 'has_public_page': True, 'name': 'New York, New York', 'slug': 'new-york-new-york'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/430074015_1076482366798233_769059946974983175_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=dhj_Xbnfg8wAX_y3cF2&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAj-GnaXTWjLerhSEniCwylHftUm_kIgaHBIGNxwAxIQw&oe=65E73EBE&_nc_sid=8b3546,False
24101272,aguynamedpatrick,C3qz_bNrPGw,True,"Designed by @rockwellgroup and from the culinary team behind @cotekoreansteakhouse, @coqodaq is Manhattan’s newest hotspot.",48,1085,1708646175,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/429193902_1468995163967092_9055950478211871444_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=5_aDwEbWswMAX-CcsaM&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDdOQYHTzXyBN6Ik5iaxSIVpJ681Ww-PYRyhWl3T8wc4g&oe=65E75C0C&_nc_sid=8b3546,False
24101272,aguynamedpatrick,C3llousLglS,True,A classic look! Might need another coat for these NYC temps but this will be perfect when spring hits 🤪,30,1063,1708470886,,https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/428715390_2563804357133571_4048262842427977635_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=8_dWCE3CCIMAX8ZjR6c&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDr0HxS72cJY9YV_5PEkyOq0uLs7wv-mFN7alTisc_UQA&oe=65E747D1&_nc_sid=8b3546,False
24101272,aguynamedpatrick,C3ahjj6L-2Z,True,Layered looks with @lagos_jewelry. Check out their new #LAGOSAnthem collection for men. #Ad #MyLAGOSMyWay #LAGOSMen,31,620,1708099623,"{'id': '212988663', 'has_public_page': True, 'name': 'New York, New York', 'slug': 'new-york-new-york'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/427721813_407953405057241_3288835403189427758_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=k3g5Wj7cXAUAX8flvOc&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfC-23snyPlsrvOOHxK7m_7nQmCL3KDDGtuY1_tooK25LQ&oe=65E71DB7&_nc_sid=8b3546,False
24101272,aguynamedpatrick,C3YhcAFPCQJ,True,"Of my many favorite cocktail bars in NYC, @swanroomnyc.",39,4066,1708032450,"{'id': '100389925904064', 'has_public_page': True, 'name': 'Nine Orchard', 'slug': 'nine-orchard'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/427900461_301171552973410_7999799827598929611_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=gu3ScibF97UAX8-M-18&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD9xfn1G9WeD7ZsjXE9RctxQScafuP7qhsUeFwxI-Y26w&oe=65E6C88B&_nc_sid=8b3546,False
24101272,aguynamedpatrick,C3TQRxrPUan,True,Cold weather snow day!,35,663,1707855636,"{'id': '212988663', 'has_public_page': True, 'name': 'New York, New York', 'slug': 'new-york-new-york'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/426720207_1272048933752140_9209107182460479008_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=9N_SWNaxTZMAX_GFeZq&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBfIiGijZb5oJrJENv4zZ83VI2PNCFEvc0OmNbr0ajVJA&oe=65E6E983&_nc_sid=8b3546,False
24101272,aguynamedpatrick,C3QlD3jv2Xa,False,"The weekend! (not including Super Bowl content because I unsubscribed long ago). 

1 - the @jonathancohenstudio, photo: @thomrazzano 
 (jacket: @emporioarmani, sweater: @bananarepublic,
 jewelry: @lagos_jewelry)
2 - a headshots at @thomasbrunot
3 - the studio of @thomasbrunot 
4 - post @barrys 
5 - a quiet 6th Ave
6 - at @aireancientbaths_us",27,1140,1707765830,"{'id': '212988663', 'has_public_page': True, 'name': 'New York, New York', 'slug': 'new-york-new-york'}",https://instagram.flba2-1.fna.fbcdn.net/v/t51.2885-15/426279599_1449736289298980_7026445517388253580_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.flba2-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=m91vPeQ-WJMAX_uV4CJ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDkAPKejrcweNLpGF3QnCPhV3WetrDB8Jzawt0RJu1ZMg&oe=65E95872&_nc_sid=8b3546,True
